exam_center,CENTRE CATEGORY,CENTRE POSITION IN ITS CATEGORY(NATIONWISE),CENTRE POSITION IN ITS CATEGORY(REGIONWISE),EXAMINATION CENTRE GPA,EXAMINATION CENTRE REGION,TOTAL PASSED CANDIDATES,REGIST,ABSENT,SAT,WITHHELD,NO-CA,CLEAN,DIV I,DIV II,DIV III,DIV IV,DIV 0
S2427 ISONGOLE,CENTRE WITH 40 CANDIDATES OR MORE,3145/3908,170/187,4.2443,MBEYA,89,139,4,135,0,0,135,0,7,16,66,46
S2428 MBUJI,CENTRE WITH LESS THAN 40 CANDIDATES,710/1011,35/53,4.0885,RUVUMA,31,38,4,34,0,0,34,0,2,4,25,3
S2429 FUJONI,CENTRE WITH 40 CANDIDATES OR MORE,3864/3908,16/23,4.5890,KASKAZINI UNGUJA,65,146,2,144,0,0,144,0,1,6,58,79
S2430 BUMBWINI,CENTRE WITH 40 CANDIDATES OR MORE,3891/3908,18/23,4.6661,KASKAZINI UNGUJA,53,124,1,123,0,0,123,0,0,2,51,70
S2431 MABOGINI,CENTRE WITH 40 CANDIDATES OR MORE,2401/3908,189/276,4.0824,KILIMANJARO,70,96,5,91,0,0,91,1,8,9,52,21
S2433 GANAKO,CENTRE WITH 40 CANDIDATES OR MORE,2589/3908,148/178,4.1199,ARUSHA,87,124,4,120,0,0,120,1,8,20,58,33
S2434 NGUNJA,CENTRE WITH 40 CANDIDATES OR MORE,3363/3908,96/118,4.2979,MTWARA,45,58,2,56,0,0,56,0,1,1,43,11
S2435 MDIMBA,CENTRE WITH 40 CANDIDATES OR MORE,2238/3908,45/118,4.0532,MTWARA,73,82,1,81,0,0,81,1,7,5,60,8
S2436 MAUNDO,CENTRE WITH 40 CANDIDATES OR MORE,3239/3908,90/118,4.2669,MTWARA,67,86,2,84,0,0,84,0,0,10,57,17
S2437 LIENJE,CENTRE WITH LESS THAN 40 CANDIDATES,983/1011,28/28,4.5369,MTWARA,8,17,0,17,0,0,17,0,0,1,7,9
S2438 CHINYIKA,CENTRE WITH LESS THAN 40 CANDIDATES,390/1011,14/63,3.7244,DODOMA,19,21,2,19,0,0,19,0,2,5,12,0
S2439 CHIPOGORO,CENTRE WITH LESS THAN 40 CANDIDATES,596/1011,33/63,3.9782,DODOMA,31,35,0,35,0,0,35,0,1,8,22,4
S2440 MBUGA,CENTRE WITH 40 CANDIDATES OR MORE,2998/3908,122/152,4.2117,DODOMA,40,47,3,44,0,0,44,0,0,4,36,4
S2441 MTITAA,CENTRE WITH 40 CANDIDATES OR MORE,1267/3908,40/152,3.8278,DODOMA,40,43,2,41,0,0,41,0,4,9,27,1
S2442 IBIHWA,CENTRE WITH 40 CANDIDATES OR MORE,1525/3908,47/152,3.8984,DODOMA,31,40,1,39,0,0,39,0,8,6,17,8
S2443 CHIPANGA,CENTRE WITH 40 CANDIDATES OR MORE,2511/3908,99/152,4.1061,DODOMA,31,41,3,38,0,0,38,0,2,5,24,7
S2444 IDIFU,CENTRE WITH LESS THAN 40 CANDIDATES,584/1011,30/63,3.9706,DODOMA,29,30,0,30,0,0,30,0,2,2,25,1
S2445 MPWAYUNGU,CENTRE WITH 40 CANDIDATES OR MORE,970/3908,30/152,3.7163,DODOMA,37,42,0,42,0,0,42,1,8,6,22,5
S2446 MSAMALO,CENTRE WITH 40 CANDIDATES OR MORE,2260/3908,83/152,4.0561,DODOMA,60,84,3,81,0,0,81,2,9,4,45,21
S2447 SEGALA,CENTRE WITH 40 CANDIDATES OR MORE,757/3908,18/152,3.5714,DODOMA,55,58,2,56,0,0,56,2,10,13,30,1
S2448 MVUMI MISSION,CENTRE WITH 40 CANDIDATES OR MORE,3214/3908,128/152,4.2596,DODOMA,75,129,3,126,0,0,126,0,9,15,51,51
S2449 BABAYU,CENTRE WITH LESS THAN 40 CANDIDATES,801/1011,46/63,4.1918,DODOMA,21,32,0,32,0,0,32,0,3,2,16,11
S2450 ITISO,CENTRE WITH LESS THAN 40 CANDIDATES,241/1011,3/63,3.4517,DODOMA,33,33,0,33,0,0,33,1,7,11,14,0
S2451 MAKWAWA,CENTRE WITH 40 CANDIDATES OR MORE,2944/3908,117/152,4.1977,DODOMA,36,50,6,44,0,0,44,0,2,1,33,8
S2452 LAMAITI,CENTRE WITH LESS THAN 40 CANDIDATES,495/1011,22/63,3.8753,DODOMA,14,20,1,19,0,0,19,1,1,5,7,5
S2453 MPUI,CENTRE WITH 40 CANDIDATES OR MORE,2356/3908,51/70,4.0736,RUKWA,64,74,2,72,0,0,72,0,2,11,51,8
S2455 ELLY'S,CENTRE WITH 40 CANDIDATES OR MORE,1212/3908,28/177,3.8100,MARA,49,51,1,50,0,0,50,0,3,14,32,1
S2456 BUJELA,CENTRE WITH 40 CANDIDATES OR MORE,1842/3908,105/187,3.9702,MBEYA,52,58,1,57,0,0,57,0,4,10,38,5
S2457 IPONJOLA,CENTRE WITH 40 CANDIDATES OR MORE,1575/3908,96/187,3.9129,MBEYA,94,105,3,102,0,0,102,2,8,18,66,8
S2458 KIPAUMBELE,CENTRE WITH 40 CANDIDATES OR MORE,1980/3908,25/61,4.0010,LINDI,67,80,4,76,0,0,76,0,6,10,51,9
S2459 MNYAKONGO,CENTRE WITH 40 CANDIDATES OR MORE,1755/3908,57/152,3.9499,DODOMA,66,88,2,86,0,0,86,3,7,17,39,20
S2460 IDUO,CENTRE WITH 40 CANDIDATES OR MORE,2513/3908,100/152,4.1068,DODOMA,41,44,1,43,0,0,43,0,0,5,36,2
S2461 CHIWE,CENTRE WITH 40 CANDIDATES OR MORE,903/3908,25/152,3.6733,DODOMA,51,59,4,55,0,0,55,3,7,10,31,4
S2462 NGOMAI,CENTRE WITH 40 CANDIDATES OR MORE,2189/3908,79/152,4.0448,DODOMA,60,71,5,66,0,0,66,0,6,3,51,6
S2463 HEMBAHEMBA,CENTRE WITH LESS THAN 40 CANDIDATES,668/1011,36/63,4.0377,DODOMA,28,29,0,29,0,0,29,0,1,3,24,1
S2464 SONGAMBELE KILIMANI,CENTRE WITH 40 CANDIDATES OR MORE,1584/3908,50/152,3.9143,DODOMA,64,71,1,70,0,0,70,1,7,10,46,6
S2465 MANG'HAILA,CENTRE WITH 40 CANDIDATES OR MORE,2719/3908,106/152,4.1453,DODOMA,34,55,7,48,0,0,48,0,3,9,22,14
S2466 KINDAI,CENTRE WITH 40 CANDIDATES OR MORE,2116/3908,67/116,4.0304,SINGIDA,103,127,2,125,0,0,125,1,9,19,74,22
S2467 FURAHIA,CENTRE WITH 40 CANDIDATES OR MORE,2475/3908,114/134,4.0962,IRINGA,76,103,0,103,0,0,103,2,9,8,57,27
S2468 ILONGA,CENTRE WITH 40 CANDIDATES OR MORE,3604/3908,162/176,4.3886,MOROGORO,39,76,0,76,0,0,76,0,5,5,29,37
S2469 CELINA KOMBANI,CENTRE WITH 40 CANDIDATES OR MORE,3466/3908,149/176,4.3371,MOROGORO,53,73,2,71,0,0,71,0,0,4,49,18
S2470 MAHENGE,CENTRE WITH 40 CANDIDATES OR MORE,1722/3908,68/176,3.9415,MOROGORO,76,86,4,82,0,0,82,0,8,11,57,6
S2471 UPONERA,CENTRE WITH 40 CANDIDATES OR MORE,2392/3908,92/176,4.0810,MOROGORO,49,54,1,53,0,0,53,0,3,5,41,4
S2472 MINEPA,CENTRE WITH 40 CANDIDATES OR MORE,2767/3908,104/176,4.1558,MOROGORO,59,77,1,76,0,0,76,1,3,6,49,17
S2473 ITETE,CENTRE WITH 40 CANDIDATES OR MORE,2997/3908,121/176,4.2116,MOROGORO,64,105,2,103,0,0,103,1,7,13,43,39
S2474 USANGULE,CENTRE WITH 40 CANDIDATES OR MORE,3082/3908,128/176,4.2298,MOROGORO,53,90,3,87,0,0,87,2,5,9,37,34
S2475 MALINYI,CENTRE WITH 40 CANDIDATES OR MORE,3826/3908,171/176,4.5328,MOROGORO,46,123,2,121,0,0,121,1,3,8,34,75
S2476 MBAGALA,CENTRE WITH 40 CANDIDATES OR MORE,2745/3908,156/237,4.1504,DAR ES SALAAM,292,438,9,429,0,0,429,4,36,54,198,137
S2478 MSENSE,CENTRE WITH 40 CANDIDATES OR MORE,3141/3908,69/86,4.2433,SONGWE,77,117,4,113,0,0,113,0,6,6,65,36
S2479 GUBALI,CENTRE WITH LESS THAN 40 CANDIDATES,769/1011,44/63,4.1517,DODOMA,37,38,0,38,0,0,38,0,0,3,34,1
S2480 KWAMTORO,CENTRE WITH LESS THAN 40 CANDIDATES,910/1011,59/63,4.3421,DODOMA,21,31,0,31,0,0,31,0,1,3,17,10
S2481 GOIMA,CENTRE WITH 40 CANDIDATES OR MORE,2646/3908,103/152,4.1310,DODOMA,33,40,1,39,0,0,39,1,2,2,28,6
S2482 LOO,CENTRE WITH LESS THAN 40 CANDIDATES,691/1011,37/63,4.0655,DODOMA,27,36,1,35,0,0,35,1,1,8,17,8
S2483 KOLO,CENTRE WITH LESS THAN 40 CANDIDATES,882/1011,55/63,4.2922,DODOMA,26,34,0,34,0,0,34,0,0,3,23,8
S2484 KIKORE,CENTRE WITH LESS THAN 40 CANDIDATES,841/1011,51/63,4.2412,DODOMA,21,30,1,29,0,0,29,0,1,3,17,8
S2485 MASANGE,CENTRE WITH 40 CANDIDATES OR MORE,3402/3908,137/152,4.3137,DODOMA,27,41,1,40,0,0,40,0,0,7,20,13
S2486 THAWI,CENTRE WITH LESS THAN 40 CANDIDATES,903/1011,58/63,4.3330,DODOMA,15,23,0,23,0,0,23,0,0,4,11,8
S2487 KALAMBA,CENTRE WITH LESS THAN 40 CANDIDATES,259/1011,4/63,3.4931,DODOMA,32,33,1,32,0,0,32,3,4,6,19,0
S2488 KIKILO,CENTRE WITH LESS THAN 40 CANDIDATES,791/1011,45/63,4.1745,DODOMA,14,18,0,18,0,0,18,0,0,4,10,4
S2489 DALAI,CENTRE WITH 40 CANDIDATES OR MORE,1009/3908,32/152,3.7379,DODOMA,62,64,1,63,0,0,63,0,5,22,35,1
S2490 SERYA,CENTRE WITH LESS THAN 40 CANDIDATES,859/1011,54/63,4.2696,DODOMA,15,20,0,20,0,0,20,0,0,2,13,5
S2491 KWALE,CENTRE WITH 40 CANDIDATES OR MORE,2803/3908,86/215,4.1637,TANGA,43,51,0,51,0,0,51,0,3,5,35,8
S2493 MWATISI,CENTRE WITH 40 CANDIDATES OR MORE,977/3908,59/187,3.7187,MBEYA,90,93,2,91,0,0,91,0,11,26,53,1
S2494 MKAMBA,CENTRE WITH 40 CANDIDATES OR MORE,3839/3908,129/129,4.5508,PWANI,34,69,1,68,0,0,68,0,1,2,31,34
S2495 MUNZEZE,CENTRE WITH 40 CANDIDATES OR MORE,2035/3908,78/137,4.0138,KIGOMA,52,66,0,66,0,0,66,2,7,6,37,14
S2497 KIPETA,CENTRE WITH 40 CANDIDATES OR MORE,1776/3908,38/70,3.9544,RUKWA,36,43,0,43,0,0,43,0,4,8,24,7
S2499 TUSIIME,CENTRE WITH 40 CANDIDATES OR MORE,169/3908,20/237,2.4252,DAR ES SALAAM,294,295,0,295,0,0,295,89,137,53,15,1
S2501 KISIBA,CENTRE WITH 40 CANDIDATES OR MORE,3099/3908,168/187,4.2332,MBEYA,44,58,1,57,0,0,57,0,2,3,39,13
S2502 MBWENI,CENTRE WITH 40 CANDIDATES OR MORE,1903/3908,120/237,3.9830,DAR ES SALAAM,61,78,0,78,0,0,78,3,6,12,40,17
S2503 IBABA,CENTRE WITH 40 CANDIDATES OR MORE,2659/3908,55/86,4.1335,SONGWE,51,67,2,65,0,0,65,0,4,6,41,14
S2504 MALILI,CENTRE WITH 40 CANDIDATES OR MORE,1486/3908,58/100,3.8873,SIMIYU,97,117,5,112,0,0,112,2,8,25,62,15
S2505 RWEPA'S,CENTRE WITH 40 CANDIDATES OR MORE,312/3908,8/121,2.8788,SHINYANGA,52,52,0,52,0,0,52,8,20,17,7,0
S2506 CARMEL,CENTRE WITH 40 CANDIDATES OR MORE,53/3908,4/176,1.8500,MOROGORO,54,54,0,54,0,0,54,39,15,0,0,0
S2507 NGOMENI,CENTRE WITH 40 CANDIDATES OR MORE,3148/3908,115/215,4.2450,TANGA,79,119,3,116,0,0,116,1,6,11,61,37
S2508 ISENI,CENTRE WITH 40 CANDIDATES OR MORE,3173/3908,224/246,4.2495,MWANZA,90,147,4,143,0,0,143,1,8,13,68,53
S2509 ENGLISH SPEAKING INT. MUSLIM SCHOOL,CENTRE WITH 40 CANDIDATES OR MORE,1279/3908,25/66,3.8299,MJINI MAGHARIBI,49,56,1,55,0,0,55,1,7,12,29,6
S2510 ISTIQAMA,CENTRE WITH LESS THAN 40 CANDIDATES,779/1011,4/4,4.1608,KATAVI,24,25,0,25,0,0,25,0,0,2,22,1
S2511 MADISI,CENTRE WITH 40 CANDIDATES OR MORE,944/3908,38/134,3.7021,IRINGA,97,98,1,97,0,0,97,0,11,36,50,0
S2512 MOHORO,CENTRE WITH 40 CANDIDATES OR MORE,2926/3908,74/129,4.1937,PWANI,63,102,0,102,0,0,102,1,9,12,41,39
S2513 BETTY MITCHEL,CENTRE WITH LESS THAN 40 CANDIDATES,780/1011,40/59,4.1628,MOROGORO,5,6,0,6,0,0,6,0,0,1,4,1
S2515 FPCT-TUMAINI,CENTRE WITH LESS THAN 40 CANDIDATES,367/1011,3/4,3.6935,KATAVI,34,36,1,35,0,0,35,0,8,6,20,1
S2516 GRACE,CENTRE WITH 40 CANDIDATES OR MORE,453/3908,24/129,3.1451,PWANI,45,48,0,48,0,0,48,8,12,14,11,3
S2518 KIWERE,CENTRE WITH LESS THAN 40 CANDIDATES,980/1011,65/65,4.5295,TABORA,17,38,2,36,0,0,36,0,1,1,15,19
S2519 SWAYA,CENTRE WITH 40 CANDIDATES OR MORE,2667/3908,147/187,4.1351,MBEYA,50,60,2,58,0,0,58,0,2,8,40,8
S2520 SELEMBALA,CENTRE WITH LESS THAN 40 CANDIDATES,958/1011,51/59,4.4495,MOROGORO,19,30,0,30,0,0,30,0,0,1,18,11
S2521 MTAKUJA,CENTRE WITH 40 CANDIDATES OR MORE,716/3908,71/276,3.5197,KILIMANJARO,65,67,0,67,0,0,67,2,12,18,33,2
S2522 MPONDE,CENTRE WITH 40 CANDIDATES OR MORE,3298/3908,130/215,4.2790,TANGA,37,45,3,42,0,0,42,0,0,2,35,5
S2523 SHUNGA,CENTRE WITH 40 CANDIDATES OR MORE,1459/3908,93/215,3.8798,KAGERA,99,102,1,101,0,0,101,1,5,15,78,2
S2524 MURUSAGAMBA,CENTRE WITH 40 CANDIDATES OR MORE,748/3908,48/215,3.5586,KAGERA,43,44,0,44,0,0,44,0,8,12,23,1
S2525 KIRUSHYA,CENTRE WITH 40 CANDIDATES OR MORE,1417/3908,85/215,3.8679,KAGERA,44,50,2,48,0,0,48,1,5,5,33,4
S2526 BARIKIWA,CENTRE WITH LESS THAN 40 CANDIDATES,960/1011,56/61,4.4507,LINDI,18,37,3,34,0,0,34,0,0,4,14,16
S2527 GOODWILL,CENTRE WITH 40 CANDIDATES OR MORE,380/3908,26/178,3.0046,ARUSHA,50,50,0,50,0,0,50,3,19,24,4,0
S2529 BUGOGWA,CENTRE WITH 40 CANDIDATES OR MORE,1312/3908,90/246,3.8382,MWANZA,211,246,1,245,0,0,245,6,25,50,130,34
S2530 NYAMANORO,CENTRE WITH 40 CANDIDATES OR MORE,1315/3908,91/246,3.8396,MWANZA,188,242,2,240,0,0,240,7,36,39,106,52
S2531 KASHISHI,CENTRE WITH 40 CANDIDATES OR MORE,880/3908,25/111,3.6627,TABORA,97,108,2,106,0,0,106,2,18,24,53,9
S2532 ADAM,CENTRE WITH LESS THAN 40 CANDIDATES,707/1011,18/23,4.0857,MBEYA,25,29,0,29,0,0,29,0,2,2,21,4
S2533 SAMBU,CENTRE WITH 40 CANDIDATES OR MORE,385/3908,22/129,3.0150,PWANI,47,47,0,47,0,0,47,3,19,14,11,0
S2534 GUTA,CENTRE WITH 40 CANDIDATES OR MORE,3553/3908,154/177,4.3695,MARA,51,107,3,104,0,0,104,1,3,14,33,53
S2535 KABULA,CENTRE WITH 40 CANDIDATES OR MORE,1563/3908,93/187,3.9076,MBEYA,56,64,1,63,0,0,63,0,6,13,37,7
S2537 ILALA,CENTRE WITH 40 CANDIDATES OR MORE,1041/3908,89/237,3.7520,DAR ES SALAAM,146,189,1,188,0,0,188,3,35,48,60,42
S2538 MWANANCHI,CENTRE WITH 40 CANDIDATES OR MORE,1897/3908,68/137,3.9824,KIGOMA,131,165,1,164,0,0,164,0,25,19,87,33
S2540 ITEBWA,CENTRE WITH LESS THAN 40 CANDIDATES,458/1011,13/23,3.8312,MBEYA,11,11,0,11,0,0,11,0,1,3,7,0
S2542 KALANGASA,CENTRE WITH 40 CANDIDATES OR MORE,2013/3908,42/70,4.0089,RUKWA,69,88,5,83,0,0,83,0,6,13,50,14
S2543 NG'HOBOKO,CENTRE WITH 40 CANDIDATES OR MORE,1290/3908,51/100,3.8320,SIMIYU,42,53,5,48,0,0,48,0,8,10,24,6
S2545 NAMALENGA,CENTRE WITH 40 CANDIDATES OR MORE,3284/3908,91/118,4.2755,MTWARA,53,68,0,68,0,0,68,0,3,3,47,15
S2546 KELLU HILL,CENTRE WITH 40 CANDIDATES OR MORE,868/3908,41/176,3.6500,MOROGORO,29,68,2,66,34,0,32,2,5,4,18,3
S2547 LYANDEMBELA,CENTRE WITH 40 CANDIDATES OR MORE,3291/3908,132/134,4.2779,IRINGA,94,127,2,125,0,0,125,0,2,12,80,31
S2549 ALPHA,CENTRE WITH 40 CANDIDATES OR MORE,151/3908,15/237,2.3704,DAR ES SALAAM,79,79,0,79,0,0,79,26,38,12,3,0
S2550 MLONDWE,CENTRE WITH 40 CANDIDATES OR MORE,2524/3908,79/95,4.1087,NJOMBE,88,109,2,107,0,0,107,1,7,7,73,19
S2551 NGOFILA,CENTRE WITH 40 CANDIDATES OR MORE,2986/3908,100/121,4.2085,SHINYANGA,41,54,1,53,0,0,53,1,0,5,35,12
S2552 BUNAMBIYU,CENTRE WITH 40 CANDIDATES OR MORE,2826/3908,92/121,4.1689,SHINYANGA,63,101,4,97,0,0,97,1,7,10,45,34
S2553 MWAMADULU,CENTRE WITH 40 CANDIDATES OR MORE,1702/3908,57/121,3.9370,SHINYANGA,44,55,1,54,0,0,54,0,5,12,27,10
S2554 IDUKILO,CENTRE WITH 40 CANDIDATES OR MORE,3110/3908,105/121,4.2350,SHINYANGA,55,81,1,80,0,0,80,0,5,8,42,25
S2555 MWAKIPOYA,CENTRE WITH LESS THAN 40 CANDIDATES,877/1011,16/19,4.2884,SHINYANGA,19,28,3,25,0,0,25,0,0,3,16,6
S2556 KILOLELI,CENTRE WITH 40 CANDIDATES OR MORE,3890/3908,121/121,4.6657,SHINYANGA,14,48,0,48,0,0,48,0,0,2,12,34
S2557 BUSIYA,CENTRE WITH 40 CANDIDATES OR MORE,2222/3908,75/121,4.0494,SHINYANGA,55,84,5,79,0,0,79,3,8,7,37,24
S2558 SOMAGEDI,CENTRE WITH 40 CANDIDATES OR MORE,2827/3908,93/121,4.1690,SHINYANGA,31,51,1,50,0,0,50,2,3,3,23,19
S2559 MAGANZO,CENTRE WITH 40 CANDIDATES OR MORE,2357/3908,80/121,4.0741,SHINYANGA,112,149,3,146,0,0,146,4,12,14,82,34
S2560 TALAGA,CENTRE WITH LESS THAN 40 CANDIDATES,957/1011,18/19,4.4476,SHINYANGA,16,38,5,33,0,0,33,1,0,2,13,17
S2561 SONGWA,CENTRE WITH 40 CANDIDATES OR MORE,1845/3908,63/121,3.9708,SHINYANGA,44,50,0,50,0,0,50,0,4,6,34,6
S2562 WISHITELEJA,CENTRE WITH 40 CANDIDATES OR MORE,3759/3908,120/121,4.4719,SHINYANGA,36,81,2,79,0,0,79,1,0,10,25,43
S2563 BULEKELA,CENTRE WITH 40 CANDIDATES OR MORE,3084/3908,103/121,4.2302,SHINYANGA,41,66,0,66,0,0,66,0,4,11,26,25
S2564 MWATAGA,CENTRE WITH 40 CANDIDATES OR MORE,1441/3908,45/121,3.8743,SHINYANGA,49,58,1,57,0,0,57,2,7,10,30,8
S2565 MATABA,CENTRE WITH 40 CANDIDATES OR MORE,1451/3908,54/100,3.8782,SIMIYU,45,51,2,49,0,0,49,0,9,5,31,4
S2566 NG'HUMBU,CENTRE WITH 40 CANDIDATES OR MORE,1886/3908,74/100,3.9793,SIMIYU,43,45,0,45,0,0,45,0,2,6,35,2
S2567 MWAKALEKA,CENTRE WITH 40 CANDIDATES OR MORE,1915/3908,75/100,3.9857,SIMIYU,44,50,0,50,0,0,50,1,2,7,34,6
S2568 BUSHASHI,CENTRE WITH LESS THAN 40 CANDIDATES,375/1011,23/50,3.7007,SIMIYU,31,33,2,31,0,0,31,1,6,3,21,0
S2569 MWABAYANDA,CENTRE WITH LESS THAN 40 CANDIDATES,450/1011,32/50,3.8258,SIMIYU,21,24,2,22,0,0,22,0,2,4,15,1
S2570 SANGAMWALUGESHA,CENTRE WITH LESS THAN 40 CANDIDATES,487/1011,35/50,3.8633,SIMIYU,25,28,0,28,0,0,28,2,2,2,19,3
S2571 NG'WIGWA,CENTRE WITH 40 CANDIDATES OR MORE,537/3908,10/100,3.2914,SIMIYU,54,56,1,55,0,0,55,8,8,16,22,1
S2572 KIKOLE,CENTRE WITH LESS THAN 40 CANDIDATES,971/1011,60/61,4.4986,LINDI,5,11,1,10,0,0,10,0,0,1,4,5
S2573 KIRANJERANJE,CENTRE WITH 40 CANDIDATES OR MORE,3467/3908,58/61,4.3372,LINDI,24,40,1,39,0,0,39,0,1,4,19,15
S2574 MIBUYUNI,CENTRE WITH LESS THAN 40 CANDIDATES,497/1011,14/61,3.8762,LINDI,22,27,1,26,0,0,26,1,1,6,14,4
S2575 LIKAWAGE,CENTRE WITH LESS THAN 40 CANDIDATES,672/1011,26/61,4.0459,LINDI,12,15,1,14,0,0,14,0,0,3,9,2
S2576 KIBATA,CENTRE WITH LESS THAN 40 CANDIDATES,407/1011,9/61,3.7638,LINDI,24,25,0,25,0,0,25,1,2,7,14,1
S2577 MIGURUWE,CENTRE WITH LESS THAN 40 CANDIDATES,444/1011,11/61,3.8165,LINDI,18,18,0,18,0,0,18,0,1,5,12,0
S2578 DODOMEZI,CENTRE WITH LESS THAN 40 CANDIDATES,694/1011,28/61,4.0666,LINDI,21,27,0,27,0,0,27,0,2,6,13,6
S2579 KIVINJE,CENTRE WITH 40 CANDIDATES OR MORE,2555/3908,38/61,4.1133,LINDI,97,118,1,117,0,0,117,0,7,14,76,20
S2580 MTANGA,CENTRE WITH 40 CANDIDATES OR MORE,3362/3908,54/61,4.2973,LINDI,48,78,1,77,0,0,77,1,4,7,36,29
S2581 KANDAWALE,CENTRE WITH LESS THAN 40 CANDIDATES,855/1011,47/61,4.2638,LINDI,20,23,0,23,0,0,23,0,0,2,18,3
S2582 KIKANDA,CENTRE WITH 40 CANDIDATES OR MORE,2301/3908,34/61,4.0634,LINDI,36,44,0,44,0,0,44,0,4,4,28,8
S2583 PANDE,CENTRE WITH LESS THAN 40 CANDIDATES,969/1011,59/61,4.4954,LINDI,15,29,0,29,0,0,29,0,0,2,13,14
S2584 NJINJO,CENTRE WITH 40 CANDIDATES OR MORE,2457/3908,36/61,4.0947,LINDI,34,42,2,40,0,0,40,1,1,5,27,6
S2585 NAKIU,CENTRE WITH LESS THAN 40 CANDIDATES,825/1011,42/61,4.2132,LINDI,22,35,0,35,0,0,35,0,3,2,17,13
S2587 BUHINGO,CENTRE WITH 40 CANDIDATES OR MORE,2831/3908,203/246,4.1696,MWANZA,65,96,3,93,0,0,93,1,7,12,45,28
S2588 BULEMEJI,CENTRE WITH 40 CANDIDATES OR MORE,1649/3908,117/246,3.9279,MWANZA,66,83,4,79,0,0,79,0,8,16,42,13
S2589 IDETEMYA,CENTRE WITH 40 CANDIDATES OR MORE,2569/3908,180/246,4.1170,MWANZA,94,118,4,114,0,0,114,0,9,10,75,20
S2590 KASOLOLO,CENTRE WITH 40 CANDIDATES OR MORE,2691/3908,189/246,4.1407,MWANZA,43,61,0,61,0,0,61,1,5,6,31,18
S2591 ILUJAMATE,CENTRE WITH 40 CANDIDATES OR MORE,2640/3908,185/246,4.1300,MWANZA,49,65,1,64,0,0,64,0,4,10,35,15
S2592 KANYELELE,CENTRE WITH 40 CANDIDATES OR MORE,2376/3908,166/246,4.0771,MWANZA,64,85,1,84,0,0,84,2,6,9,47,20
S2593 MAWEMATATU,CENTRE WITH 40 CANDIDATES OR MORE,3032/3908,214/246,4.2192,MWANZA,56,85,0,85,0,0,85,0,8,6,42,29
S2594 MWANIKO,CENTRE WITH 40 CANDIDATES OR MORE,1754/3908,127/246,3.9499,MWANZA,44,59,3,56,0,0,56,0,6,13,25,12
S2595 SHILALO,CENTRE WITH 40 CANDIDATES OR MORE,2218/3908,158/246,4.0491,MWANZA,44,73,5,68,0,0,68,1,9,8,26,24
S2596 SUMBUGU,CENTRE WITH 40 CANDIDATES OR MORE,1538/3908,107/246,3.9028,MWANZA,63,82,2,80,0,0,80,4,8,10,41,17
S2597 MISUFINI,CENTRE WITH LESS THAN 40 CANDIDATES,880/1011,52/61,4.2915,LINDI,21,33,1,32,0,0,32,0,1,4,16,11
S2598 NAMATULA,CENTRE WITH LESS THAN 40 CANDIDATES,965/1011,58/61,4.4722,LINDI,17,34,3,31,0,0,31,0,1,1,15,14
S2599 MLEMBWE,CENTRE WITH LESS THAN 40 CANDIDATES,766/1011,36/61,4.1489,LINDI,21,22,1,21,0,0,21,0,0,2,19,0
S2600 KIANGARA,CENTRE WITH LESS THAN 40 CANDIDATES,316/1011,4/61,3.6011,LINDI,27,27,0,27,0,0,27,0,4,8,15,0
S2601 HANGAI,CENTRE WITH LESS THAN 40 CANDIDATES,581/1011,18/61,3.9697,LINDI,34,34,0,34,0,0,34,0,1,5,28,0
S2602 CHINONGWE,CENTRE WITH 40 CANDIDATES OR MORE,2861/3908,49/61,4.1769,LINDI,50,61,0,61,0,0,61,0,1,7,42,11
S2603 LIUGURU,CENTRE WITH LESS THAN 40 CANDIDATES,742/1011,33/61,4.1303,LINDI,18,21,1,20,0,0,20,0,0,3,15,2
S2604 CHUNYU,CENTRE WITH LESS THAN 40 CANDIDATES,758/1011,35/61,4.1449,LINDI,26,32,3,29,0,0,29,0,2,1,23,3
S2605 MNACHO,CENTRE WITH 40 CANDIDATES OR MORE,1552/3908,19/61,3.9057,LINDI,46,62,4,58,0,0,58,2,2,17,25,12
S2606 NAMICHIGA,CENTRE WITH 40 CANDIDATES OR MORE,2054/3908,26/61,4.0171,LINDI,32,40,3,37,0,0,37,0,5,2,25,5
S2607 MIPINGO,CENTRE WITH LESS THAN 40 CANDIDATES,350/1011,6/61,3.6589,LINDI,25,26,1,25,0,0,25,2,2,5,16,0
S2609 KIWALALA,CENTRE WITH 40 CANDIDATES OR MORE,2655/3908,41/61,4.1329,LINDI,61,78,2,76,0,0,76,0,6,5,50,15
S2610 NANGARU,CENTRE WITH LESS THAN 40 CANDIDATES,698/1011,30/61,4.0714,LINDI,30,35,0,35,0,0,35,0,3,4,23,5
S2611 NAMANGALE,CENTRE WITH LESS THAN 40 CANDIDATES,143/1011,2/61,3.1389,LINDI,6,6,0,6,0,0,6,0,3,1,2,0
S2612 NG'APA,CENTRE WITH 40 CANDIDATES OR MORE,2738/3908,43/61,4.1485,LINDI,55,67,0,67,0,0,67,2,1,6,46,12
S2613 NYENGEDI,CENTRE WITH 40 CANDIDATES OR MORE,3134/3908,52/61,4.2426,LINDI,36,51,1,50,0,0,50,1,0,5,30,14
S2614 MVULENI,CENTRE WITH LESS THAN 40 CANDIDATES,848/1011,46/61,4.2511,LINDI,21,31,0,31,0,0,31,0,2,4,15,10
